City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Rikitea,PF,73.54,clear sky,-23.1203,-134.9692,People ThankYou
8,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
9,Acapulco,MX,85.98,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
10,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
11,Ormara,PK,82.44,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
13,Meadow Lake,US,81.37,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
17,Kailua,US,82.38,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
18,Marsa Matruh,EG,75.4,few clouds,31.3525,27.2453,Beau Site
22,Bethel,US,72.01,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
28,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
30,Kahului,US,82.98,few clouds,20.8947,-156.47,Maui Seaside Hotel
32,Ridgecrest,US,85.68,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
35,Mucuri,BR,77.13,overcast clouds,-18.0864,-39.5508,La Bodeguita Pousada
36,Abu Samrah,SY,75.24,clear sky,35.3029,37.1841,
38,Touros,BR,85.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
40,Bambous Virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
41,San Patricio,US,87.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
42,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
43,Atuona,PF,78.55,clear sky,-9.8,-139.0333,Villa Enata
51,Paciran,ID,77.85,few clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
53,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
54,Souillac,MU,71.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
55,Nioro,GM,82.83,overcast clouds,13.35,-15.75,
58,Ponta Do Sol,PT,75.0,broken clouds,32.6667,-17.1,Hotel do Campo
60,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
64,Baghdad,IQ,80.51,clear sky,33.3406,44.4009,Baghdad Hotel
66,Mayo,US,76.95,clear sky,38.8876,-76.5119,Resorts Resource Group International
70,Kudahuvadhoo,MV,81.99,light rain,2.6708,72.8944,Niyama Private Islands Maldives
71,Butaritari,KI,83.7,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
72,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
82,Phan Thiet,VN,76.93,broken clouds,10.9333,108.1,Hotel Saigon-PT
84,Cam Ranh,VN,78.76,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
86,Marica,BR,78.96,overcast clouds,-22.9194,-42.8186,Marica Hills
87,Nuevo Ideal,MX,73.18,overcast clouds,24.8875,-105.0728,Hotel Las Águilas
90,Vila Franca Do Campo,PT,72.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
94,Liure,HN,87.62,overcast clouds,13.5358,-87.0919,"Barreal Centro, Orocuina Choluteca HN"
95,Cabatuan,PH,75.83,broken clouds,10.8794,122.486,MVC Transient Room
96,Kamina,CD,73.67,overcast clouds,-8.7386,24.9906,Guest House Florvia
97,Peniche,PT,71.08,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
98,Arraial Do Cabo,BR,82.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
101,Faanui,PF,79.48,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
104,Dicabisagan,PH,78.96,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
105,Guerrero Negro,MX,75.15,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
107,Victoria,HK,84.33,light rain,22.2855,114.1577,Mini Hotel Central
113,Kapaa,US,79.2,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
120,Kampong Cham,KH,76.17,light rain,11.9934,105.4635,7 Makara Hotel
121,Laguna,US,86.22,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
122,Rosarito,MX,72.25,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
124,Kavieng,PG,81.25,light rain,-2.5744,150.7967,Nusa Island Retreat
125,Mahebourg,MU,71.89,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
126,Hirara,JP,82.96,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
128,Hithadhoo,MV,82.89,overcast clouds,-0.6,73.0833,Scoop Guest House
130,Mmathubudukwane,BW,81.46,clear sky,-24.6,26.4333,Gill Sleepover Guesthouse
135,Mayumba,GA,75.72,broken clouds,-3.432,10.6554,LIKWALE LODGE
136,Vila Velha,BR,79.97,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
141,Zhicheng,CN,71.28,light rain,30.2956,111.5047,Wangjiang Building
143,Mumbwa,ZM,73.53,overcast clouds,-14.9783,27.0619,Mumbwa Motel
145,Socorro,US,81.1,scattered clouds,31.6546,-106.3033,guarderia imss papalote
147,Nishihara,JP,79.88,scattered clouds,26.1842,127.7558,Minshuku Agaihama
154,Jati,PK,83.48,scattered clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
155,Grand Gaube,MU,72.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
156,La Libertad,EC,76.66,scattered clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
164,Reitz,ZA,70.92,overcast clouds,-27.8014,28.4273,The Lillies Guesthouse
166,Bilma,NE,88.93,clear sky,18.6853,12.9164,Expeditions Ténére voyages
168,Angoche,MZ,75.65,clear sky,-16.2325,39.9086,Guest House HESADA
175,Saint-Georges,GD,83.88,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
178,Bandarbeyla,SO,79.18,overcast clouds,9.4942,50.8122,JABIR HOTEL
183,Clinton,US,74.21,broken clouds,42.587,-82.9199,Hampton Inn Detroit/Roseville
184,Provost,CA,70.25,scattered clouds,52.3501,-110.2683,Canalta Hotel Provost
185,Rodeo,US,74.32,smoke,38.033,-122.2669,Captain's Cottage
186,Sibolga,ID,76.03,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
187,Bengkulu,ID,75.38,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
188,Portales,US,85.01,overcast clouds,34.1862,-103.3344,"Holiday Inn Express & Suites Portales, an IHG Hotel"
189,Bontang,ID,76.73,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
191,Caravelas,BR,76.77,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
193,Boyolangu,ID,73.9,broken clouds,-8.1181,111.8935,Yos ega cv
194,Carutapera,BR,84.99,broken clouds,-1.195,-46.02,Lidera
198,Maldonado,UY,70.23,clear sky,-34.6667,-54.9167,La Cimarrona
206,Traverse City,US,70.84,broken clouds,44.7631,-85.6206,Bayshore Resort
212,Puerto Del Rosario,ES,76.68,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
213,Ouro Branco,BR,74.43,broken clouds,-20.5208,-43.6919,Hotel Verdes Mares
216,Ambilobe,MG,71.76,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
218,Thoen,TH,72.52,light rain,17.6129,99.2161,Nakornthoen Hotel
220,Tiznit,MA,77.58,clear sky,29.5833,-9.5,
223,Mount Isa,AU,71.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
232,Laurel,US,76.5,clear sky,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
233,Luau,AO,73.67,broken clouds,-10.7073,22.2247,Casa- Bernardo Cândido
234,Kieta,PG,78.62,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
243,Dingle,PH,75.78,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
244,Nkayi,CG,82.42,overcast clouds,-4.1841,13.2884,Résidence privée du Maire NKAYI
246,Meulaboh,ID,74.07,overcast clouds,4.1363,96.1285,Kost Pria
247,Capaci,IT,79.12,broken clouds,38.1711,13.2393,Hotel Sirenetta
251,Toledo,ES,72.86,overcast clouds,39.8333,-4.0,Hotel Carlos V Toledo
252,Magway,MM,77.47,moderate rain,20.15,94.9167,Htein Htein Thar 2
254,Gizo,SB,80.69,moderate rain,-8.103,156.8419,Imagination Island
255,Hollins,US,76.53,few clouds,37.3413,-79.9431,"Country Inn & Suites by Radisson, Roanoke, VA"
260,Souris,CA,72.73,clear sky,49.6172,-100.2612,The Souris Hotel
266,South Lake Tahoe,US,79.72,clear sky,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
267,Orange,US,74.59,overcast clouds,33.7,-117.7675,Meadows
270,Daru,PG,77.22,overcast clouds,-9.0763,143.2092,Daru Lodge
273,Banjarmasin,ID,75.34,broken clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
275,Pitimbu,BR,81.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
279,Port Moresby,PG,76.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
283,Trat,TH,79.99,overcast clouds,12.5,102.5,สวนหนิง-อัศ
285,Forestville,US,76.32,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
289,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
290,Palu,ID,75.42,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
291,Ligayan,PH,83.21,scattered clouds,4.6533,119.4706,
292,Khonsa,IN,70.36,overcast clouds,27.0167,95.5667,
293,San Quintin,MX,71.94,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
295,Naples,IT,78.51,clear sky,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
296,Buchanan,LR,80.56,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
297,Bubaque,GW,83.48,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
299,Chaiya,TH,76.62,overcast clouds,9.3862,99.1986,JP Place
302,Kuching,MY,77.22,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
303,Gulbarga,IN,75.43,overcast clouds,17.3333,76.8333,Kamat Hotel
304,Lorengau,PG,80.65,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
305,Padang,ID,76.14,overcast clouds,-0.9492,100.3543,Mercure Padang
308,Kirakira,SB,77.56,overcast clouds,-10.4544,161.9205,SanBiz Lodge
309,Sola,VU,75.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
312,Batesville,US,86.95,clear sky,35.7698,-91.641,"Holiday Inn Express & Suites Batesville, an IHG Hotel"
315,Porto Seguro,BR,77.52,scattered clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
321,Salalah,OM,84.29,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
323,Soure,BR,82.76,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
325,Young,UY,78.22,clear sky,-32.6833,-57.6333,Posada Gira el Sol
331,Salinas,US,75.52,scattered clouds,36.6777,-121.6555,Laurel Inn & Conference Center
333,Sulangan,PH,83.41,broken clouds,11.1373,123.7228,Maia's Beach Resort
334,Passo De Camaragibe,BR,85.55,few clouds,-9.2368,-35.4901,Chácara vovó candinha
335,Ahuimanu,US,82.11,broken clouds,21.4447,-157.8378,Paradise Bay Resort
336,Cockburn Town,TC,82.98,clear sky,21.4612,-71.1419,Osprey Beach Hotel
337,Gilgit,PK,76.57,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
342,Cayenne,GF,89.64,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
344,Neosho,US,88.32,clear sky,36.869,-94.368,Best Western Big Spring Lodge
346,Inhambane,MZ,72.03,clear sky,-23.865,35.3833,Oceano
350,Celestun,MX,86.72,scattered clouds,20.8667,-90.4,Posada Lilia
351,Ternate,ID,79.61,few clouds,0.8,127.4,Grand Dafam Bela Ternate
355,Derventa,BA,70.9,few clouds,44.9772,17.9103,Hotel Biser
357,Banjar,ID,78.66,broken clouds,-8.19,114.9675,The Hamsa Resort
359,Umm Lajj,SA,85.39,clear sky,25.0213,37.2685,Moon light Furnished Units
362,Mahon,ES,75.76,scattered clouds,39.8885,4.2658,ARTIEM Capri
363,Lucapa,AO,73.47,broken clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
364,Poum,NC,71.65,broken clouds,-20.2333,164.0167,Gîte kajeon
365,Bianzhuang,CN,71.06,overcast clouds,34.8486,118.0447,Hao Shuo Business Hotel
366,Taitung,TW,78.85,clear sky,22.7583,121.1444,Taitung Bali Suites Hotel
367,Minjur,IN,84.22,overcast clouds,13.2667,80.2667,Whitefield Integrated Residential Township
368,Samarai,PG,79.02,few clouds,-10.6167,150.6667,Nuli Sapi
369,Corato,IT,72.93,broken clouds,41.1455,16.4139,Nicotel Corato S.R.L.
370,Belen,TR,70.03,clear sky,36.4891,36.2233,Varlıbaş Uyku Sarayı
373,Elizabeth City,US,77.05,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
377,Pandan,PH,79.99,overcast clouds,14.0453,124.1694,Bonifacio Lodge
379,Saint George,US,89.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
381,Surt,LY,75.6,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
382,Keti Bandar,PK,82.99,overcast clouds,24.1447,67.4497,Haji laloo memon house
384,Doctor Arroyo,MX,74.37,broken clouds,23.6667,-100.1833,Hotel Plaza
385,Tautira,PF,82.42,few clouds,-17.7333,-149.15,Pension Oaoa
387,Kotdwara,IN,75.92,clear sky,29.75,78.5333,hotel gaurav plaza
389,Pochutla,MX,88.68,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
390,Veracruz,MX,82.87,scattered clouds,19.3333,-96.6667,El Carrizal
391,Itarema,BR,83.43,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
393,Una,IN,77.92,overcast clouds,20.8167,71.0333,Hotel Harbhole
394,Tigre,AR,82.29,few clouds,-34.426,-58.5796,Puerto Delta Apartamentos
397,Acari,PE,75.7,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
401,Xuddur,SO,78.08,overcast clouds,4.1213,43.8894,Banjanay Hotel
402,Duluth,US,77.18,clear sky,46.7833,-92.1066,South Pier Inn
403,Scottsbluff,US,87.78,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
406,Kaputa,ZM,78.85,few clouds,-8.4689,29.6619,Chelelwa Charlets
408,Yining,CN,78.64,light rain,29.0361,114.5636,Xiushui Hotel
411,Pati,ID,76.46,light rain,-6.7559,111.038,Gitrary Perdana Hotel
412,Sao Filipe,CV,79.43,scattered clouds,14.8961,-24.4956,Hotel Xaguate
413,Banda Aceh,ID,78.55,overcast clouds,5.5577,95.3222,Sulthan Hotel International
414,Vermilion,US,81.19,clear sky,40.1667,-87.7506,Sparkling Springs Cabin
417,Methoni,GR,76.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
418,Los Llanos De Aridane,ES,71.35,volcanic ash,28.6585,-17.9182,Valle Aridane
419,Gat,IL,81.39,clear sky,31.61,34.7642,OlusHome
422,Papara,BR,85.73,broken clouds,-3.9839,-38.7273,Romin
423,Beloha,MG,71.71,clear sky,-25.1667,45.05,
425,Rio Grande,BR,71.71,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
426,Hun,LY,78.17,clear sky,29.1268,15.9477,Alrwasi Hotel
428,Trincomalee,LK,80.85,light rain,8.5711,81.2335,Welcombe Hotel
430,Sabha,LY,78.8,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
438,Mudu,CN,75.97,broken clouds,31.252,120.5118,Jinjiang Inn
439,Vanimo,PG,77.16,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
440,Acarau,BR,84.06,broken clouds,-2.8856,-40.12,castelo pizzaria
442,Namatanai,PG,79.25,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
443,Lazaro Cardenas,MX,86.52,overcast clouds,17.9583,-102.2,quinta antigua
444,San Pedro,PH,82.35,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
448,Sal Rei,CV,84.76,few clouds,16.1833,-22.9167,Marine Club Beach Resort
450,Komatsushima,JP,71.56,broken clouds,34.0,134.5833,リゾート旅館・ニューみはらし
455,Mtimbira,TZ,77.14,broken clouds,-8.7833,36.35,
456,Eyl,SO,79.52,overcast clouds,7.9803,49.8164,Amiin Hotel
458,Nisia Floresta,BR,85.01,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
459,Saint-Pierre,RE,71.28,light rain,-21.3393,55.4781,Lindsey Hôtel
460,Kontagora,NG,77.97,broken clouds,10.3999,5.4695,Queens Guest Inn
464,Yulin,CN,75.7,light rain,22.6333,110.15,罗弟天海大厦
465,Tari,NG,85.78,clear sky,12.4086,4.4914,
466,Tomatlan,MX,89.2,overcast clouds,19.9333,-105.25,El Salvial
473,Quatre Cocos,MU,71.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
476,Mahibadhoo,MV,81.72,overcast clouds,3.7833,72.9667,Omadhoo Inn
477,Fukue,JP,74.53,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
478,Saint Anthony,US,80.91,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
479,Moerai,PF,75.56,overcast clouds,-22.4333,-151.3333,Le Manotel
481,Stephenville,US,88.14,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
488,Biabou,VC,80.6,light rain,13.2,-61.1333,Spring Garden Resort
489,Tortosa,ES,76.06,overcast clouds,40.8125,0.5216,Parador de Tortosa
490,Turayf,SA,75.45,clear sky,31.6725,38.6637,Turaif
494,Lexington,US,75.09,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
497,Santa Fe,AR,88.0,clear sky,-31.6333,-60.7,Conquistador Hotel
501,Bloomsburg,US,73.29,few clouds,41.0037,-76.4549,Hampton Inn Bloomsburg
502,Benguela,AO,70.77,clear sky,-12.5763,13.4055,Hotel Praia Morena
503,Portobelo,PA,86.41,overcast clouds,9.55,-79.65,Scuba Portobelo
505,Waingapu,ID,74.73,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
506,El Jicaro,GT,89.13,overcast clouds,14.9167,-89.9,Auto Hotel Refugio de Don Pepe
509,Tura,IN,76.14,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
511,Doha,QA,89.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
516,Mogadishu,SO,78.19,few clouds,2.0371,45.3438,Hotel Juba
517,Minab,IR,89.1,clear sky,27.1467,57.0801,Bam campground
527,Biltine,TD,85.24,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
530,Dawlatabad,AF,75.7,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
532,Iquitos,PE,87.84,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
533,Westport,US,73.89,clear sky,41.1415,-73.3579,The Westport Inn
538,Saint-Joseph,RE,70.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
539,Hamilton,US,77.22,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
540,Praia,CV,82.94,broken clouds,14.9215,-23.5087,LT Aparthotel
541,Lobito,AO,70.93,clear sky,-12.3481,13.5456,Casa Rosa Hotel Residence
548,Moose Jaw,CA,71.29,overcast clouds,50.4001,-105.5344,Temple Gardens Hotel & Spa
549,Tezu,IN,76.44,scattered clouds,27.9167,96.1667,Circuit House
553,Tabou,CI,74.98,moderate rain,4.423,-7.3528,hotêl doufoulougou
554,Muscat,OM,87.82,clear sky,23.6139,58.5922,Mutrah Hotel
557,Sinnamary,GF,86.27,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
559,Dongli,CN,76.98,light rain,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
561,Palmeiras De Goias,BR,83.64,broken clouds,-16.805,-49.9258,Hotel Água Virada
562,Puerto Escondido,MX,87.26,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
563,Jabinyanah,TN,82.2,scattered clouds,35.035,10.9081,maison belmabrouk
564,Kavaratti,IN,81.12,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
565,Kansanshi,ZM,70.45,overcast clouds,-12.0951,26.4273,
566,Tepoztlan,MX,78.28,overcast clouds,18.9833,-99.1,Posada del Tepozteco
567,Hobyo,SO,78.37,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
568,Coahuayana,MX,89.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
570,Nakhon Phanom,TH,71.73,scattered clouds,17.3333,104.4167,ป่ายางรีสอร์ท
573,Santo Angelo,BR,80.98,clear sky,-28.2992,-54.2631,Hotel Nova Esperança Aberto 24h
575,Ha Tinh,VN,74.71,broken clouds,18.3333,105.9,Phú Quý
576,Manggar,ID,80.53,overcast clouds,-2.8833,108.2667,Guest Hotel
579,Bonthe,SL,77.29,light rain,7.5264,-12.505,Bonthe Holiday Village
580,Campos,BR,80.65,clear sky,-21.75,-41.3,Palace Hotel - Campos dos Goytacazes
581,Cazones,MX,84.54,scattered clouds,20.7167,-97.3167,Hotel paraíso
583,Annandale,US,76.05,clear sky,38.8304,-77.1964,Falls Church Marriott Fairview Park
584,Andros Town,BS,84.16,light rain,24.7,-77.7667,Hanks place
585,Bandundu,CD,79.45,light rain,-3.3167,17.3667,Coja Color
586,Naze,JP,77.22,few clouds,28.3667,129.4833,オーベルジュ・アガルイ
590,Benicarlo,ES,72.55,overcast clouds,40.4165,0.4271,El Pinche De Oro
591,Awbari,LY,80.33,clear sky,26.5921,12.7805,فندق أوباري
594,Virginia Beach,US,76.05,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
596,Puerto Gaitan,CO,88.43,broken clouds,4.3133,-72.0816,Brisas del Yucao
599,Tema,GH,79.21,scattered clouds,5.667,-0.0166,Beulah Royale Hotel Tema
600,Guantanamo,CU,86.47,broken clouds,20.1444,-75.2092,Hotel Guantánamo
604,Rudbar,AF,83.82,clear sky,30.15,62.6,
605,Martapura,ID,75.29,mist,-3.4167,114.85,Montana Hotel Syariah
611,Auki,SB,76.55,overcast clouds,-8.7676,160.7034,Auki Motel
614,Wanning,CN,78.8,few clouds,18.8003,110.3967,Paradise Hotel
615,Itubera,BR,78.46,broken clouds,-13.7322,-39.1492,Pousada Baixo Sul.
617,La Palma,US,81.1,overcast clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
622,Tual,ID,80.55,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
623,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
626,Bitung,ID,76.05,scattered clouds,1.4451,125.1824,K2 Lembeh
628,Puro,PH,79.97,overcast clouds,12.4841,123.3827,
631,Tete,MZ,88.3,overcast clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
633,Mana,GF,86.29,scattered clouds,5.6592,-53.7767,LE SAMANA
634,Conceicao Da Barra,BR,77.16,overcast clouds,-18.5933,-39.7322,Cricaré Praia Hotel
635,Kano,NG,82.29,clear sky,12.0001,8.5167,Havana Guest Inn
636,Sabang,ID,80.74,overcast clouds,5.8933,95.3214,Hotel Citra
644,Nargana,PA,83.89,overcast clouds,9.4428,-78.5906,Dubbir
645,Natal,BR,84.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
646,Asfi,MA,71.67,overcast clouds,32.2994,-9.2372,Hôtel Abda
648,Mangochi,MW,78.39,scattered clouds,-14.4782,35.2645,Fort Johnstone Hotel
651,Kasongo-Lunda,CD,75.15,light rain,-6.4667,16.8167,
654,Half Moon Bay,US,75.45,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
655,Nouakchott,MR,80.53,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
656,Muisne,EC,84.31,overcast clouds,0.6,-80.0333,Quinta Samay
660,Salinopolis,BR,83.14,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
661,Vaitape,PF,79.48,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
663,Dergaon,IN,79.79,few clouds,26.7,93.9667,Villa Shivalay (Assam)
667,Monrovia,LR,80.37,moderate rain,6.3005,-10.7969,Sunset Inn
669,Nalut,LY,86.5,overcast clouds,30.3333,10.85,
670,Najran,SA,83.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
672,Lianzhou,CN,77.61,scattered clouds,24.7811,112.3825,Qingcheng Tourism Industry
673,Mangla,PK,88.83,clear sky,31.8931,72.3817,Rana Tariq Aziz House
